district,school,county,grades,students,teachers,calworks,lunch,computer,expenditure,income,english,read,math
75119,Sunol Glen Unified,Alameda,KK-08,195,10.89999962,0.510200024,2.040800095,67,6384.911133,22.69000053,0,691.5999756,690
61499,Manzanita Elementary,Butte,KK-08,240,11.14999962,15.41670036,47.91669846,101,5099.380859,9.824000359,4.583333492,660.5,661.9000244
61549,Thermalito Union Elementary,Butte,KK-08,1550,82.90000153,55.03229904,76.32260132,169,5501.95459,8.977999687,30.00000191,636.2999878,650.9000244
61457,Golden Feather Union Elementary,Butte,KK-08,243,14,36.47539902,77.04920197,85,7101.831055,8.977999687,0,651.9000244,643.5
61523,Palermo Union Elementary,Butte,KK-08,1335,71.5,33.10860062,78.42700195,171,5235.987793,9.080332756,13.85767746,641.7999878,639.9000244
61705,Knightsen Elementary,Contra Costa,KK-08,353,19.97999954,8.672100067,33.06230164,8,5238.39209,14.65299988,5.382436275,636.5999756,633.5
63008,Rio Dell Elementary,Humboldt,KK-08,329,18.53000069,28.91570091,85.54219818,37,5462.899414,10.62899971,6.079027653,644.2999878,626.0999756
61382,Bangor Union Elementary,Butte,KK-08,146,8,25.34250069,54.10960007,34,6231.601563,7.105000019,0,646.0999756,629.7999878
61507,Oroville City Elementary,Butte,KK-08,3401,175.5500031,52.21989822,74.27230072,560,5489.588867,11.26612473,16.17171478,641.5,638.0999756
61846,Camino Union Elementary,El Dorado,KK-08,548,32.20000076,7.664199829,31.38689995,35,5685.63916,14.86699963,11.49635029,652.0999756,636.7000122
62737,Cuddeback Union Elementary,Humboldt,KK-08,149,8.5,19.46310043,59.0603981,30,5182.428223,10.33300018,0,656.7999878,633.7000122
62703,Blue Lake Union Elementary,Humboldt,KK-08,220,13.39000034,19.1303997,52.1739006,48,5960.464355,11.97200012,0,658,633.0999756
62984,Peninsula Union Elementary,Humboldt,KK-08,133,7.550000191,25,72.14289856,25,5811.689941,13.33500004,0,644.2999878,647.2000122
63032,South Bay Union Elementary,Humboldt,KK-06,575,35.09999847,26.43479919,59.13040161,59,5504.025391,14.22799969,8.173913002,654.5999756,646.5
61655,Brentwood Union Elementary,Contra Costa,KK-08,3519,175.3000031,5.54129982,29.78120041,789,5105.734375,15.02700043,15.45893669,655.4000244,645.7999878
62802,Fortuna Union Elementary,Humboldt,KK-08,780,41.15000153,16.5394001,50.76340103,75,5261.370605,14.19699955,3.846153975,662,640.7999878
62638,Plaza Elementary,Glenn,KK-08,140,6.75,7.85710001,45.71429825,25,4566.27002,10.63899994,10.71428585,654.2000122,649.4000244
63016,Rohnerville Elementary,Humboldt,KK-08,577,29.95000076,20.33609962,46.05039978,134,4882.236816,14.19699955,0,657.2000122,647.5
62927,Loleta Union Elementary,Humboldt,KK-08,168,11.01000023,29.16670036,63.69049835,30,5653.453613,12.50199986,12.5,655.9000244,651.7999878
61762,Oakley Union Elementary,Contra Costa,KK-08,4153,199.8600006,7.526899815,23.4409008,241,4965.290039,16.32299995,4.984348774,657.4000244,652.7000122
61945,Pioneer Union Elementary,El Dorado,KK-08,586,26,7.508500099,37.88399887,78,5724.441895,12.39400005,0.853242338,662,649.5999756
61572,Mark Twain Union Elementary,Calaveras,KK-08,777,36.84999847,12.98869991,39.84870148,148,5482.677246,13.24300003,1.158301115,663.4000244,650.2000122
63057,Trinidad Union Elementary,Humboldt,KK-08,160,8.699999809,16.09199905,36.78160095,37,6168.229492,14.07400036,0,672.7999878,642.2000122
